fecha,ticket_real,ticket_predicho,error,error_abs,error_pct
2026-05-14,112.84210526315789,87.76233915159844,25.07976611155945,25.07976611155945,22.22553899811705
2026-05-15,111.41739130434782,111.36533619235563,0.05205511199218904,0.05205511199218904,0.04672081385391197
2026-05-16,110.68,129.1032268140059,-18.423226814005886,18.423226814005886,16.645488628483815
2026-05-17,161.74705882352941,120.80452106489577,40.94253775863365,40.94253775863365,25.31269381738997
2026-05-19,62.10645161290322,89.1004603136102,-26.994008700706978,26.994008700706978,43.464097528796366
2026-05-20,71.80499999999999,82.14485520187932,-10.339855201879331,10.339855201879331,14.399909758205323
2026-05-21,61.12419354838709,88.65994586543087,-27.53575231704378,27.53575231704378,45.04885990069701
2026-05-22,101.7122641509434,121.66099921178704,-19.948735060843646,19.948735060843646,19.612910230018333
2026-05-23,110.4897435897436,123.7854763490415,-13.295732759297906,13.295732759297906,12.03345426220367
2026-05-24,116.68499999999999,109.08611624484516,7.59888375515483,7.59888375515483,6.51230557068589
2026-05-26,70.18392857142857,80.58040692476533,-10.39647835333676,10.39647835333676,14.813189522093953
2026-05-27,82.69310344827586,82.70359758267755,-0.010494134401682231,0.010494134401682231,0.012690459015419903
2026-05-28,77.42826086956521,86.43895461895866,-9.010693749393454,9.010693749393454,11.63747402847233
2026-05-29,86.28557692307693,94.1394090423082,-7.853832119231271,7.853832119231271,9.102137807148134
2026-05-30,120.47162162162162,125.37499525655844,-4.903373634936813,4.903373634936813,4.0701482796814785
2026-05-31,118.88684210526316,107.241961849768,11.644880255495153,11.644880255495153,9.794927722266104
2026-06-02,62.140625,80.4086475529086,-18.268022552908604,18.268022552908604,29.397873859345005
2026-06-03,75.38780487804878,80.07017751378535,-4.68237263573657,4.68237263573657,6.211047852250133
2026-06-04,87.64827586206897,82.41776609643797,5.230509765630998,5.230509765630998,5.9676128414233585
2026-06-05,93.83362068965518,96.27211938163316,-2.4384986919779834,2.4384986919779834,2.59874730832679
2026-06-06,113.22,120.32553585585119,-7.105535855851187,7.105535855851187,6.275866327372539
2026-06-07,127.90333333333334,115.33022275958413,12.573110573749204,12.573110573749204,9.830166459369735
2026-06-08,81.36772727272727,75.69929656534734,5.668430707379926,5.668430707379926,6.96643607653014
2026-06-10,69.1826923076923,83.06522980490769,-13.882537497215381,13.882537497215381,20.06648922460597
2026-06-11,81.40769230769232,90.10122631457291,-8.693534006880597,8.693534006880597,10.679008040201053
2026-06-12,73.45294117647059,98.6625540350534,-25.209612858582815,25.209612858582815,34.32076708544149
2026-06-13,108.08108108108108,121.09872431096166,-13.017643229880576,13.017643229880576,12.044331070407136
2026-06-14,153.8346153846154,120.60938001500595,33.22523536960945,33.22523536960945,21.598022841959285
2026-06-16,85.24032258064516,90.05561587622327,-4.815293295578115,4.815293295578115,5.6490791561967715
2026-06-17,75.5078125,82.62180976439473,-7.113997264394726,7.113997264394726,9.421538022167873
2026-06-18,58.220588235294116,83.36925514042424,-25.148666905130128,25.148666905130128,43.195487485447046
2026-06-19,81.28425925925927,99.8991573299747,-18.614898070715427,18.614898070715427,22.90098752249497
2026-06-20,114.81129032258065,118.31999785903484,-3.508707536454196,3.508707536454196,3.056064892743494
2026-06-21,106.434375,117.76637670017824,-11.332001700178239,11.332001700178239,10.646937796344686
2026-06-23,65.44285714285715,79.90782524137012,-14.46496809851297,14.46496809851297,22.10320381785435
2026-06-24,59.106,79.40021017143465,-20.29421017143465,20.29421017143465,34.33527928033474
2026-06-25,75.7173076923077,81.05335762806153,-5.3360499357538345,5.3360499357538345,7.047331843120904
2026-06-26,87.24324324324324,92.98375335467477,-5.740510111431533,5.740510111431533,6.57989077208695
2026-06-27,113.5809677419355,110.86776384973328,2.713203892202216,2.713203892202216,2.3887839187695774
2026-06-28,130.859375,106.39494216942902,24.464432830570985,24.464432830570985,18.695208372018424
2026-06-30,103.29782608695652,76.6342721644452,26.663553922511312,26.663553922511312,25.81230886704801
2026-07-01,75.70138888888889,81.26044049831003,-5.559051609421147,5.559051609421147,7.343394475338457
2026-07-02,75.91521739130435,82.59196540074167,-6.676748009437318,6.676748009437318,8.795006111913079
2026-07-03,93.402,91.11803874379218,2.2839612562078173,2.2839612562078173,2.445302302100402
2026-07-04,98.53181818181818,118.48094828060319,-19.949130098785005,19.949130098785005,20.24638382494211
2026-07-05,144.02916666666667,106.59429757521198,37.434869091454686,37.434869091454686,25.99117245334893
2026-07-07,100.91666666666667,80.78044062952537,20.1362260371413,20.1362260371413,19.953320598323334
2026-07-08,70.4258064516129,85.89766884635307,-15.471862394740171,15.471862394740171,21.969024103927506
2026-07-09,65.72500000000001,82.59717693288948,-16.872176932889474,16.872176932889474,25.670866387051305
