modelo,MAE_mean,MAE_std,RMSE_mean,R2_mean,sMAPE_mean
Random Forest,529.9589765625003,112.20989336860444,675.0362551210285,0.7322309746425324,20.986926632149075
Extra Trees,535.684142989435,109.77417354784845,695.0309559127785,0.7179576573836542,21.231850250603745
XGBoost,548.3101095275879,112.12343433708662,694.390265569064,0.7164333870737688,21.698519660515494
Ridge,562.9708503535501,112.08401232175575,690.6161955477221,0.721845379346678,23.828624507360484
HistGradientBoosting,668.4580194522866,257.52915134148424,825.2838837903739,0.5741041498007597,26.006306712861498
