fecha,facturacion_real,facturacion_predicha,error,error_abs,error_pct
2026-05-14,4288.0,2475.0197500000004,1812.9802499999996,1812.9802499999996,42.28032299440297
2026-05-15,5125.2,4349.281800000001,775.9181999999992,775.9181999999992,15.139276516038382
2026-05-16,3873.8,5039.203450000002,-1165.4034500000016,1165.4034500000016,30.084244153028074
2026-05-17,2749.7,2726.455400000002,23.244599999997718,23.244599999997718,0.8453504018619384
2026-05-19,1925.3,1966.0222499999975,-40.72224999999753,40.72224999999753,2.1151119306080886
2026-05-20,2872.2,2483.3709,388.8290999999999,388.8290999999999,13.5376749529977
2026-05-21,1894.85,2117.3419,-222.4919,222.4919,11.741926801593793
2026-05-22,5390.75,4656.061000000001,734.6889999999994,734.6889999999994,13.628697305569714
2026-05-23,4309.1,4626.825149999997,-317.7251499999966,317.7251499999966,7.373352904318688
2026-05-24,2333.7,2248.797099999998,84.90290000000186,84.90290000000186,3.638124009084367
2026-05-26,1965.1499999999999,1894.2112000000002,70.93879999999967,70.93879999999967,3.6098414879271137
2026-05-27,2398.1,2270.586099999999,127.51390000000083,127.51390000000083,5.317288686877146
2026-05-28,1780.85,2213.850499999999,-433.0004999999992,433.0004999999992,24.314260044360793
2026-05-29,4486.85,4644.749199999999,-157.89919999999893,157.89919999999893,3.519154863657107
2026-05-30,4457.45,5200.654149999999,-743.2041499999996,743.2041499999996,16.67330312174
2026-05-31,2258.85,2304.276799999998,-45.42679999999791,45.42679999999791,2.0110587245721456
2026-06-02,1988.5,2099.381949999999,-110.88194999999905,110.88194999999905,5.576160422428919
2026-06-03,3090.9,2332.5989,758.3011000000001,758.3011000000001,24.533343039244237
2026-06-04,2541.8,1848.4338999999993,693.3661000000009,693.3661000000009,27.278546699189583
2026-06-05,5442.35,4742.770699999996,699.579300000004,699.579300000004,12.854360708150045
2026-06-06,5661.0,5128.066849999996,532.9331500000044,532.9331500000044,9.414116763822724
2026-06-07,1918.55,2526.480400000002,-607.9304000000022,607.9304000000022,31.686971931927875
2026-06-08,1790.09,1796.2898500000017,-6.199850000001788,6.199850000001788,0.34634292130573263
2026-06-10,1798.75,2211.9943999999987,-413.2443999999987,413.2443999999987,22.973976372480816
2026-06-11,3174.9,2699.8296,475.07040000000006,475.07040000000006,14.963318529717473
2026-06-12,3746.1,4097.144549999998,-351.04454999999825,351.04454999999825,9.37093377112192
2026-06-13,3999.0,4322.779099999997,-323.779099999997,323.779099999997,8.096501625406278
2026-06-14,1999.8500000000001,2633.36195,-633.5119499999998,633.5119499999998,31.677973348001093
2026-06-16,2642.45,2494.4602999999993,147.98970000000054,147.98970000000054,5.600473045847624
2026-06-17,2416.25,2178.8296499999983,237.4203500000017,237.4203500000017,9.825984480082843
2026-06-18,1979.5,2047.227349999999,-67.72734999999898,67.72734999999898,3.4214372316240955
2026-06-19,4389.35,4087.6982999999996,301.6517000000008,301.6517000000008,6.872354676660571
2026-06-20,3559.15,4339.4897,-780.3397,780.3397,21.924889369652867
2026-06-21,1702.95,2367.0569499999983,-664.1069499999983,664.1069499999983,38.9974426730085
2026-06-23,1832.4,1880.5395999999985,-48.13959999999838,48.13959999999838,2.627133813577733
2026-06-24,1477.65,1815.175449999999,-337.52544999999895,337.52544999999895,22.842043108990556
2026-06-25,1968.65,1741.5945500000007,227.05544999999938,227.05544999999938,11.533561069768592
2026-06-26,3228.0,3854.5422999999996,-626.5422999999996,626.5422999999996,19.40961276332093
2026-06-27,3521.01,4143.579350000003,-622.5693500000025,622.5693500000025,17.6815558603924
2026-06-28,2093.75,2297.2485,-203.49850000000015,203.49850000000015,9.71933134328359
2026-06-30,2375.85,1772.380499999999,603.4695000000008,603.4695000000008,25.400151524717508
2026-07-01,2725.25,1923.3023499999995,801.9476500000005,801.9476500000005,29.426571874140006
2026-07-02,1746.05,2109.5565999999994,-363.5065999999995,363.5065999999995,20.818796712579793
2026-07-03,4670.1,3927.895,742.2050000000004,742.2050000000004,15.892700370441753
2026-07-04,3251.55,4074.763649999999,-823.2136499999988,823.2136499999988,25.317576232873513
2026-07-05,1728.35,2150.420249999999,-422.0702499999993,422.0702499999993,24.420415425116403
2026-07-07,2119.25,1793.9676499999994,325.28235000000063,325.28235000000063,15.34893712398257
2026-07-08,2183.2,1970.1005499999999,213.09944999999993,213.09944999999993,9.760876236716744
2026-07-09,788.7,1880.6902000000007,-1091.9902000000006,1091.9902000000006,138.45444402180811
