variable,importancia_permutacion,std
es_fin_de_semana,284.23796214285716,70.14246512264313
reservas_anticipadas,43.98028394557814,26.18139840611444
comensales_anticipados,42.79107479591861,24.557586372952404
dia_semana,10.459800578231306,6.319017120881467
facturacion_28d_antes,3.221251904761908,1.6124997907352703
cos_dia_semana,2.320370306122544,3.5677547579757647
facturacion_14d_antes,1.4961217687074813,2.9086690758496516
facturacion_7d_antes,1.1459390476190776,2.9856313600062934
rango_temperatura,0.9339669727891438,1.8313206708810459
facturacion_std_28d,0.9131831972788841,1.546768914638393
temperature_min,0.854731598639457,0.8430494517117426
antelacion_media_dias,0.755347653061214,1.5960013708256875
wind_speed_max,0.22356193877556432,1.255416458592498
facturacion_media_3d,0.15711411564626587,0.8808423410285265
es_lunes,0.09483959183673392,0.02251056759934535
grupos_grandes_anticipados,0.06985680272107213,0.029902831814100177
facturacion_media_7d,0.0665036054421724,1.8122684872221002
trimestre,0.030711632653100195,0.04845889065179557
semana_anio,0.011042993197319599,0.07548856833756716
anio,0.0,0.0
