modelo,MAE_CV_busqueda,mejores_parametros
Random Forest,529.9589765625003,"{'model__n_estimators': 200, 'model__min_samples_leaf': 1, 'model__max_features': 0.5, 'model__max_depth': None}"
Extra Trees,535.684142989435,"{'model__n_estimators': 600, 'model__min_samples_leaf': 2, 'model__max_features': 1.0, 'model__max_depth': 6}"
XGBoost,548.3101095275879,"{'model__subsample': 0.6, 'model__reg_lambda': 1, 'model__reg_alpha': 0.5, 'model__n_estimators': 200, 'model__max_depth': 2, 'model__learning_rate': 0.03, 'model__colsample_bytree': 0.8}"
Ridge,562.9708503535502,{'model__alpha': 30}
HistGradientBoosting,668.4580194522865,"{'model__max_leaf_nodes': 7, 'model__max_iter': 100, 'model__max_depth': 5, 'model__learning_rate': 0.05, 'model__l2_regularization': 0.0}"
